1, 19:01:30 
1, 19:01:31 
2, 19:01:32 
2, 19:01:33 
2, 19:01:34 
2, 19:01:35 
3, 19:01:36 
4, 19:01:37 
5, 19:01:38 
6, 19:01:39 
7, 19:01:40 
7, 19:01:41 
7, 19:01:43 
6, 19:01:44 
7, 19:01:45 
7, 19:01:46 
7, 19:01:47 
7, 19:01:48 
7, 19:01:49 
7, 19:01:50 
7, 19:01:51 
6, 19:01:52 
5, 19:01:53 
4, 19:01:54 
5, 19:01:55 
6, 19:01:56 
7, 19:01:57 
7, 19:01:59 
6, 19:02:00 
5, 19:02:01 
4, 19:02:02 
3, 19:02:03 
2, 19:02:04 
3, 19:02:05 
4, 19:02:06 
3, 19:02:07 
2, 19:02:08 
3, 19:02:09 
4, 19:02:10 
3, 19:02:11 
2, 19:02:12 
2, 19:02:13 
3, 19:02:14 
4, 19:02:16 
3, 19:02:17 
4, 19:02:18 
5, 19:02:19 
6, 19:02:20 
5, 19:02:21 
4, 19:02:22 
3, 19:02:23 
2, 19:02:24 
2, 19:02:25 
3, 19:02:26 
2, 19:02:27 
3, 19:02:28 
4, 19:02:29 
3, 19:02:30 
2, 19:02:32 
3, 19:02:33 
4, 19:02:34 
3, 19:02:35 
4, 19:02:36 
3, 19:02:37 
2, 19:02:38 
3, 19:02:39 
2, 19:02:40 
2, 19:02:41 
3, 19:02:42 
4, 19:02:43 
5, 19:02:44 
4, 19:02:45 
5, 19:02:46 
4, 19:02:47 
5, 19:02:49 
6, 19:02:50 
7, 19:02:51 
7, 19:02:52 
6, 19:02:53 
7, 19:02:54 
1, 19:04:15 
1, 19:04:16 
2, 19:04:17 
1, 19:04:18 
1, 19:04:20 
1, 19:04:21 
1, 19:04:22 
1, 19:04:23 
2, 19:04:24 
1, 19:06:02 
2, 19:06:03 
2, 19:06:04 
1, 19:19:59 
1, 19:20:00 
1, 19:20:01 
2, 19:20:02 
2, 19:20:03 
3, 19:20:04 
